Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30,Trial_31,Trial_32,Trial_33,Trial_34,Trial_35,Trial_36,Trial_37,Trial_38,Trial_39,Trial_40,Trial_41,Trial_42,Trial_43,Trial_44,Trial_45,Trial_46,Trial_47,Trial_48,Trial_49,Trial_50,Trial_51,Trial_52,Trial_53,Trial_54,Trial_55,Trial_56,Trial_57,Trial_58,Trial_59,Trial_60,Trial_61,Trial_62,Trial_63,Trial_64,Trial_65,Trial_66,Trial_67,Trial_68,Trial_69,Trial_70,Trial_71,Trial_72,Trial_73,Trial_74,Trial_75,Trial_76,Trial_77,Trial_78,Trial_79,Trial_80,Trial_81,Trial_82,Trial_83,Trial_84,Trial_85,Trial_86,Trial_87,Trial_88,Trial_89,Trial_90,Trial_91,Trial_92,Trial_93,Trial_94,Trial_95,Trial_96,Trial_97,Trial_98,Trial_99,Trial_100
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0,6.0,4.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,6.0,6.0,4.0,6.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,4.0,4.0,4.0,6.0,4.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,4.0,6.0,6.0,4.0,6.0,4.0
7.2,4.8,4.8,7.2,4.8,4.8,7.2,3.2,7.2,4.8,4.8,4.8,4.8,7.2,7.2,7.2,7.2,4.8,4.8,7.2,7.2,4.8,7.2,4.8,7.2,7.2,7.2,4.8,3.2,4.8,4.8,3.2,3.2,7.2,4.8,7.2,4.8,7.2,7.2,7.2,7.2,7.2,4.8,4.8,3.2,4.8,3.2,3.2,7.2,7.2,3.2,7.2,4.8,7.2,4.8,7.2,7.2,3.2,4.8,4.8,4.8,3.2,4.8,4.8,7.2,7.2,4.8,7.2,4.8,3.2,4.8,4.8,7.2,4.8,4.8,7.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,7.2,7.2,7.2,4.8,7.2,7.2,3.2,7.2,3.2,7.2,4.8,3.2,4.8,4.8,4.8,4.8,3.2
8.64,5.76,5.76,5.76,3.84,5.76,8.64,2.56,5.76,5.76,5.76,5.76,3.84,8.64,8.64,8.64,5.76,5.76,5.76,8.64,8.64,5.76,8.64,5.76,5.76,8.64,8.64,3.84,2.56,5.76,3.84,3.84,2.56,5.76,5.76,8.64,3.84,8.64,8.64,8.64,8.64,5.76,5.76,3.84,2.56,5.76,3.84,3.84,8.64,5.76,2.56,8.64,5.76,8.64,5.76,8.64,8.64,3.84,3.84,5.76,5.76,3.84,3.84,5.76,8.64,5.76,5.76,5.76,3.84,3.84,5.76,3.84,8.64,3.84,3.84,8.64,5.76,3.84,5.76,5.76,5.76,5.76,5.76,8.64,5.76,5.76,5.76,5.76,8.64,3.84,5.76,3.84,8.64,5.76,2.56,5.76,3.84,5.76,5.76,2.56
6.91,4.61,4.61,4.61,3.07,4.61,10.37,3.07,4.61,4.61,6.91,6.91,3.07,10.37,10.37,6.91,6.91,6.91,6.91,10.37,6.91,6.91,6.91,4.61,4.61,6.91,10.37,4.61,3.07,4.61,3.07,3.07,3.07,4.61,6.91,10.37,4.61,6.91,10.37,6.91,10.37,4.61,6.91,4.61,3.07,4.61,3.07,4.61,6.91,6.91,3.07,10.37,6.91,6.91,6.91,6.91,10.37,4.61,3.07,4.61,6.91,4.61,4.61,6.91,10.37,6.91,4.61,4.61,4.61,3.07,4.61,4.61,10.37,4.61,4.61,10.37,6.91,3.07,6.91,4.61,6.91,6.91,4.61,6.91,6.91,6.91,6.91,6.91,10.37,3.07,4.61,3.07,6.91,6.91,2.05,4.61,3.07,4.61,6.91,3.07
8.29,5.53,3.69,5.53,2.46,5.53, ,3.68,5.53,5.53,8.29,8.29,3.68, , ,5.53,8.29,5.53,8.29, ,8.29,8.29,5.53,5.53,3.69,8.29, ,5.53,3.68,5.53,2.46,2.46,2.46,5.53,8.29, ,5.53,8.29, ,8.29, ,3.69,5.53,5.53,3.68,5.53,3.68,3.69,8.29,5.53,3.68, ,5.53,8.29,5.53,8.29, ,5.53,3.68,5.53,5.53,3.69,5.53,5.53, ,5.53,3.69,5.53,3.69,3.68,5.53,5.53, ,5.53,5.53, ,5.53,3.68,5.53,5.53,8.29,5.53,3.69,5.53,8.29,5.53,5.53,8.29, ,3.68,3.69,3.68,8.29,8.29,2.46,5.53,3.68,3.69,5.53,3.68
9.95,6.64,4.43,6.64,1.97,6.64, ,2.94,4.42,4.42,9.95,9.95,4.42, , ,4.42,6.63,4.42,9.95, ,6.63,6.63,6.64,4.42,2.95,9.95, ,4.42,2.94,4.42,2.95,2.95,1.97,6.64,6.63, ,6.64,6.63, ,9.95, ,4.43,6.64,6.64,4.42,4.42,4.42,4.43,9.95,4.42,4.42, ,6.64,9.95,6.64,6.63, ,6.64,2.94,6.64,6.64,4.43,6.64,6.64, ,4.42,2.95,6.64,4.43,4.42,6.64,4.42, ,6.64,6.64, ,4.42,4.42,6.64,6.64,6.63,4.42,4.43,6.64,9.95,6.64,4.42,6.63, ,4.42,4.43,4.42,9.95,6.63,1.97,6.64,4.42,4.43,6.64,4.42
11.94,7.97,5.32,5.31,1.58,5.31, ,2.35,3.54,5.3,11.94,11.94,5.3, , ,3.54,7.96,5.3,11.94, ,5.3,5.3,5.31,5.3,3.54,11.94, ,3.54,3.53,5.3,2.36,3.54,1.58,7.97,5.3, ,7.97,5.3, ,11.94, ,5.32,7.97,7.97,5.3,5.3,5.3,5.32,11.94,5.3,5.3, ,5.31,7.96,7.97,5.3, ,7.97,3.53,5.31,5.31,3.54,5.31,5.31, ,5.3,3.54,7.97,5.32,5.3,7.97,5.3, ,7.97,5.31, ,3.54,3.54,5.31,5.31,5.3,3.54,3.54,5.31,7.96,7.97,5.3,7.96, ,5.3,3.54,3.54,7.96,7.96,2.36,7.97,5.3,3.54,7.97,3.54
 ,6.38,6.38,6.37,1.9,4.25, ,2.82,2.83,6.36, , ,6.36, , ,4.25,6.37,4.24, , ,4.24,4.24,6.37,6.36,4.25, , ,4.25,2.82,6.36,2.83,2.83,1.9,9.56,6.36, ,9.56,6.36, , , ,6.38,9.56,6.38,6.36,4.24,6.36,6.38, ,4.24,6.36, ,4.25,9.55,9.56,4.24, ,9.56,2.82,4.25,4.25,4.25,6.37,6.37, ,6.36,4.25,9.56,4.26,4.24,9.56,6.36, ,9.56,6.37, ,4.25,2.83,6.37,6.37,6.36,4.25,2.83,6.37,9.55,6.38,6.36,9.55, ,4.24,4.25,4.25,9.55,9.55,2.83,9.56,4.24,2.83,9.56,2.83
 ,7.66,7.66,5.1,2.28,5.1, ,3.38,3.4,7.63, , ,5.09, , ,5.1,7.64,5.09, , ,5.09,3.39,5.1,7.63,5.1, , ,5.1,3.38,7.63,2.26,3.4,1.52,11.47,5.09, ,11.47,5.09, , , ,5.1,11.47,7.66,7.63,5.09,7.63,5.1, ,5.09,7.63, ,5.1,11.46,11.47,5.09, ,11.47,3.38,3.4,3.4,5.1,7.64,7.64, ,5.09,5.1,7.65,5.11,3.39,11.47,5.09, ,7.65,7.64, ,5.1,3.4,7.64,5.1,5.09,5.1,3.4,7.64,11.46,7.66,7.63,7.64, ,5.09,5.1,5.1,7.64,7.64,3.4,11.47,3.39,2.26,11.47,3.4
